,review,verified,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Wifi & Connectivity,year,Month,airline
12,not verified   i had a terrible experience with air arabia my husband was recovering from surgery and we planned a holiday which turned into a nightmare due to their services before paying everyone was polite but after that they left my family of  stranded despite having a hotel confirmation we were left on the streets at midnight when i tried to contact them the response was shocking they told me to wait until  am the next morning for a solution we had a tough morning without finding a solution as a result we asked for our tickets to be changed so we could return home dealing with the situation was particularly difficult because my youngest daughter has autism they agreed to change our tickets but asked us to pay for new ones however i have all the proof and all the records but they just prefer to keep silent i tried to find a suitable solution no way and the worst is when you go to their office or send an email your case will be handled by unprofessional staff who have no idea what you are talking about,False,Family Leisure,Economy Class,1,1,1,no,1,1,1,2024,June,air_arabia
13,not verified  you cant imagine how bad their customer service is it was about  hours delayed and i was travelling with my  little daughters    and they refused my compensation they even didnt even serve the food for my small daughters i knew how difficult my day was with this long delay and with my  little daughters,False,Family Leisure,Economy Class,1,1,2,no,1,1,1,2024,July,air_arabia
14,not verified  very bad customer service at trivandrum airport check in distracting with laptop bag and hand bag the workers attitude is very bad while reaching the checkin counter and making the travel hectic poor service,False,Family Leisure,Economy Class,2,1,1,no,1,2,1,2024,June,air_arabia
15,trip verified   i had an incredibly disappointing experience with air arabia one that i would never want to endure again the lack of sufficient information on their website regarding their cancellation policy was frustrating despite their claim of free cancellation they imposed numerous hurdles when i attempted to cancel my booking two weeks prior to the flight this lack of transparency and the subsequent difficulties they placed in my path showcased a profound lack of respect and consideration for their customers its deeply disappointing when an airline fails to uphold their promises and prioritize the needs of their passengers,True,Solo Leisure,Economy Class,1,1,1,no,1,1,1,2024,April,air_arabia
16,not verified    this airline sucks  i arrived  minutes before flight departure they refuse to give me boarding pass and make me pay  extra to get my boarding pass plus i dont have luggage i had only a small carry on of lbs they charged me  for it that was my last trip with this airline,False,Family Leisure,Economy Class,1,1,1,no,1,1,1,2024,March,air_arabia
17,not verified    i really liked everything the pilots voice is very pleasant and friendly the stewardesses fiza and ameni atef are very attentive and caring i spent a most memorable and comfortable flight flying out of almaty to medina atef fiza ameni was most helpful and hospitable,False,Business,Economy Class,5,5,5,yes,5,5,1,2024,April,air_arabia
18,trip verified   on jan th  i had a connecting flight through istanbul and upon reaching bangalore airport i was denied boarding for my air arabia flight from bangalore to sharjah then sharjah to istanbul because i did not have a transit visa to transit in istanbul according to the information available on the istanbul visa website and other reliable sources a transit visa was not required for my specific case as i told in the ticket counter that i do not have checkin luggage and i do not need to leave the airport it was a very bad experience do not take this airline,True,Solo Leisure,Economy Class,1,1,1,no,1,1,1,2024,January,air_arabia
19,trip verified  my mother is  years old and flies alone without problems but having some difficulty opening the water bottle she asked the stewardess for help who refused shame mia madre ha  anni e vola da sola senza problemi ma avendo qualche difficolt ad aprire la bottiglia dellacqua ha chiesto aiuto alla hostess che si  rifiutata vergogna,True,Solo Leisure,Economy Class,2,2,1,no,1,1,1,2024,March,air_arabia
20,trip verified   i did not have problem while going from abu dhabi to ahmedabad my wife got free wheel chair while coming from ahmedabad we were told that wheel chair is not free i will have to pay for wheel chair i thought my wife is handicap and will get wheel chair at abu dhabi airport but there also she did not get our plane of air arabia took off  minutes late at ahmedabad airport on th feb so there was only  minutes left to catch etihad plane at abu dhabi airport my wife could not walk and we had to change the terminal and walking distance was more than  mile i requested etihad employees to help for wheel chair but they told me that i have to pay for the wheel chair etihad planw was waiting for us luckily one manager from airport called to bring wheel chair for my wife as he might have received the same information for missing passengers air arabia is the worst airline i have ever experienced in my life,True,Family Leisure,Economy Class,1,1,1,no,3,2,1,2024,February,air_arabia
21,trip verified   it was my worst experience my first try of air arabia and it will be my last bad experience not good for traveling with baby they took our hand bags and baby travel trolley and kept telling us its company policy i asked to show me the policy they refused we bought a travel stroller for the baby specifically for the comfort of our baby and respecting the airline rules still they refuse to let it in the flight attendant the guy was like make review like who cares i never felt so disrespected like this time never recommend this airline,True,Family Leisure,Economy Class,1,1,3,no,1,1,1,2024,February,air_arabia
22,trip verified    weeks after a complaint and no response from the airline which would only mean they condone with this conduct or even train their staff to act accordingly i checked into flight g the experience was pleasant and smooth i reported at the gate well ahead of time and waited while enjoying a cup of coffee and a slice of cake boarding time approached and passed by with not so much of a murmur as to why there was a slight delay this did not cause any problem as the aircraft was in sight and nothing seemed amiss finally boarding started and there seemed to be a plan in place as passengers were requested to board according to their seat rows i felt the girl at the gate was checking this and it did not bother me as i comfortably awaited my turn which turned out to be the last call the wait on the sky bridge seemed unusually long and when i got to the door i waited till the purser fruitlessly tried to tell a couple that they would do their best to sit them together do we all not know that it is a budget airline and we pay for our seats if we have requirements did the purser not know how to handle this more quickly without delaying the aircraft further at my seat i found the bins full this is when a male cabin crew managed to humiliate and accuse me he directed me to move to the back of the cabin and place my bag there to which i refused i had paid to bring in my bag and if they had no control of passengers at the back putting bags in front for convenience it was not my problem his next comment was that if i wanted to put my bag in front i should have boarded first i did tell him that it was their boarding procedure that hindered me from alighting the plane earlier to which he said well other people came on he directly pointed out that it was my fault and would not stop accusing me i do not buy a ticket on an airline to be humiliated by an attendant i did find a spot a few seats in front of me and placed it there was that so difficult to show me that without pretending to be an authority and creating some onboard entertainment he would be the reason i would never travel air arabia again,True,Business,Economy Class,3,3,2,no,1,1,1,2023,December,air_arabia
23,trip verified   i suffer with loss because of incomplete information while selecting destination or airport they should highlight the required terms which are compulsory to travel as we was traveling from sharjah airport to jeddah and we booked online tickets and when we reached airport we get to know that we must hold the umrah visa to travel instead of multi entry visa we are holding with this attitude i realize air arabia main purpose is only to earn money not provide service when i call them for refund they dont have policy to refund the amount they can only provide the wallet amount which is valid for a year only at least they should make there first priority customer service anyway its a really awful experience,True,Solo Leisure,Economy Class,1,1,1,no,1,1,1,2023,November,air_arabia
24,not verified   i booked for my first time and will be the last one for sure a flight with air arabia from geneva switzerland to casablanca morocco the  plane had a delay of  hours as usual so i lost my second flight in casablanca which made me loose more than  swiss franc  us dollars for hotel taxi train bus food etc i arrived to my destination very tired and sick i contacted the client service on air arabia app to refund me but no result the client is nothing for this company i also booked a dinner which was very bad food with no bottle of water given other passengers had free sandwich with water which was humiliating for me i was very disappointed,False,Solo Leisure,Economy Class,1,1,1,no,1,1,1,2023,September,air_arabia
25,trip verified  this was a nightmare of a trip we were scheduled to depart at  on the thursday there was a delay of  hour verbally followed by  more hour then another  more hour and continued in a similar fashion till about pm at no point was an air arabia representative available approx pm and where things were getting very heated by most of the passengers by pm we were told by the airline representative that we would be given a hotel overnight and that we should prepare by this point there was a near riot by passengers and amman security about  plain clothes and uniformed were present to stop any filming of the melee i myself had taken a video to show my wife what was happening and i was called forward had to surrender my passport and was told you must delete the footage and if it appears on social media we will sue you as we have your passport details quite an unnecessary scary experience we were taken downstairs surrendered our passports and boarding cards we we then given them back and bussed to our hotel by around am i say hotel but a hotel without a working toilet or running water is not my idea of human normality the bus trip was full of pushing and shoving and no guidance of air arabia staff all the above mayhem would not have happened if air arabia did  thing been honest with us about an engine issue in a timely fashion be transparent tell people what the problem is people will understand equipment fails sometimes we were bussed back no help with loading and unloading of my  bags or anyone else and eventually left at approximately pm the next day a delay of about  hours the entire plane erupted in applause about  times on landing to cries of never air arabia again i for one will never fly with them and neither will many on that flight and all because of bad information management  silly really,True,Business,Economy Class,1,1,1,no,3,1,1,2023,October,air_arabia
26,trip verified  it was my first time experience with air arabia going from amman to sharjah then to bangkok the experience was a complete disaster our flight was supposed to take off october at  pm then was announced there will be an unknown delay we stayed for  hours until they announced the flight cancellation therefore we will escorted to a hotel i immediately cancelled my flight since i saw a big chaos and was informed by email that my flight was delayed until october to sum up  worst airline dealing with never booking again with them,True,Solo Leisure,Economy Class,1,1,2,no,2,1,1,2023,October,air_arabia
27,trip verified   this airline is a complete chaos  very unprofessional staff if any problem occurs during checkon or inflight these guys aint gonna help you they provide no help or solutions to a problem or what so ever plus they are very rude do no waste your money because they wont cancel transfer or even refund you the money for your flight if you wish to cancel it,True,Family Leisure,Economy Class,1,1,1,no,1,1,1,2023,October,air_arabia
28,trip verified  smooth boarding new airplane and clean seat space between rows probably the largest i have experienced in economy class friendly and professional flight attendants the flight was really comfortable and im very happy to fly with this airline its one of my preferred airlines excellent value for money,True,Couple Leisure,Economy Class,5,5,5,yes,5,5,1,2023,September,air_arabia
29,not verified   the worst customer service back and forth with customer service and they stopped answering my calls after they said they had my luggage lost and wouldnt reimburse me,False,Family Leisure,Economy Class,1,1,2,no,1,2,1,2023,August,air_arabia
30,trip verified   i booked the ticket for my mother on  from sharjah to calicut the ticket was booked  days prior to traveling and direct booking from air arabia portal it was with return ticket and my mother already travelled from calicut to sharjah  days back we reached the airport two and half hours before flying and they informed your ticket is on hold they made us to wait in the area for the entire two and half hours and informed the flight do not have seat  the airline is so rude that they do not even care about a senior lady traveling alone and did not in any manner addressed their mistake they did not even send any notification,True,Family Leisure,Economy Class,1,1,1,no,1,1,1,2023,July,air_arabia
31,trip verified   i would never recommend this airline it was a very bad experience the seat was dirty with chewing gum and other debris on it and despite informing the hostess multiple times to either change my seat or clean it nothing was done about it this was by far the worst travel experience i have had,True,Solo Leisure,Economy Class,3,1,1,no,1,1,1,2023,June,air_arabia
32,trip verified  i have had a very terrible experience with my luggage my luggage was left in sharjah when i got to entebbe airport i was told i would get it the next day and  days later nothing yet its my first experience using this flight and im not sure i will use it again unfortunately i have already booked a return flight with them but after my return flight not sure i want to ever use air arabia again i am so disappointed then the flight set off almost an hour late from almaty,True,Solo Leisure,Economy Class,2,2,1,no,2,1,1,2023,July,air_arabia
33,trip verified   i was on flight g sharja to tbilisi flight on  i found that cabin staff alexandra was positive and very well mannered she was managing everything perfectly and it was a great pleasure to watch her go about her work,True,Solo Leisure,Economy Class,3,3,4,yes,5,3,1,2023,May,air_arabia
34,trip verified   helpful cabin crew wide distances in seating clean aircraft good treatment only point is waiting area in cairo airport is bad professional pilot very bad arrival gate northern airport due to long time waiting at passport gate very bad,True,Business,Economy Class,5,3,4,yes,5,4,1,2023,May,air_arabia
35,trip verified  it is an ok airline not very good timing is punctual they made a lot of overbooking and asking passengers including me whether we can postpone one day they promised hotel stay with all expenses i did not accept their offer due to the urgency food i booked and got it in fine but quantity is very small air india express is far better i think,True,Solo Leisure,Economy Class,1,5,4,yes,3,3,1,2022,December,air_arabia
36,trip verified   the worst airline i booked with ever it is not comfortable and i booked flight from delhisharjahamman delay happened in delhi but i arrived sharjah  min before departure of amman flight and it is same airline so they should wait for  min instead air arabia employee took my ticket and change my flight to another flight after  hours and gave lunch and breakfast vouchers which means nothing for me i dont recommend this airline to anyone,True,Business,Economy Class,1,1,3,no,1,3,1,2023,May,air_arabia
37,trip verified   flight was delayed from doha with no reason given to passengers however afterwards passengers were informed this was due to weather on return from sharjah to doha in the month of ramadan music was played by the airline with muslim passengers having to listen to the music i was fed up of listening to a love song forever eventually after a passenger complained and it was turned down we were informed it is computerised they cant switch it off,True,Couple Leisure,Economy Class,2,1,1,no,1,1,1,2023,April,air_arabia
38,trip verified   irresponsible and careless handling of our belongings they asked me to submit my baby stroller at the aircraft and so i did however the stroller that i got at my destination was completely broken,True,Family Leisure,Economy Class,1,1,1,no,1,1,1,2023,March,air_arabia
39,trip verified   abu dhabi to cochin the flight timings were great  we were traveling with twins who are one and half year old one has to understand that traveling with small kids is not easy let alone with twins cabin staff first spoke to us rudely because we had left our folded prams on the tarmac as we didnt have free hands to bring it up since the flight did not have an aero bridge but stairs i respect rules but there is a manner to convey the message and it cannot be rude i did not expect her to carry my bagsprams but i do expect some understanding and courtesy secondly when i requested her to clear the food tray so that my toddler wouldnt make a mess she seemed to have a problem with that too and was sulky when i insisted clearly she didnt get the memo that in a service oriented industry customer is king i would give the person the benefit of doubt had she been new to this but she is the cabin manager and i expect better behavior from someone like that,True,Family Leisure,Economy Class,3,2,3,yes,1,3,1,2023,March,air_arabia
40,trip verified   air arabia charged me the equivalent of  euros to put my carryon bag under the seat this was the same bag that ryanair easyjet and air europa all allowed me to carry for free air arabias carryon bag restrictions are ridiculous and when i questioned the checkin person she told me that all airlines have their own restrictions and later that it was not her problem i wrote to customer service who simply told me that they suggest people limit the amount of carryon they bring and refused my request to be reimbursed for a ridiculously small carryon allowance i got nothing i didnt get on the  other lowcost airlines i traveled with except a little green tag on my bag indicating that i had been properly cheated  could therefore carry my bag on and place it under the seat in front of me as i did with the  other lowcost airlines for free,True,Business,Economy Class,1,1,1,no,1,1,1,2023,February,air_arabia
41,trip verified   i am never flying with this airline again and never will recommend to anybody i flew with air arabia the first time in  and then i left my pandora under my seat which i bought from armenia on my way back to uae i called customer service several times but nobody was ever willing to help me and just simply said we found nothing so thats when i know this airline cannot be trusted or perhaps its crew  came and my friends decided to book with air arabia because its cheaper so i had no choice but to go with them although ive already warned them how horrible the service of this airline is we checked in online via the air arabia app and when we arrived at the airport the online check in we did was actually useless as we still had to queue like the others who did not do the online one they couldve put up a separate counter for those who did the online check in like how we have in dubai also all the crew of this airline looks so evidently unhappy with their jobs that it is reflecting in their service getting inside the plane nobody would even smile or even look at you  i asked a crew to help me put my luggage up the cabin as i am a little short to reach and she said you have to help me because i cannot put it up myself,True,Family Leisure,Economy Class,2,1,1,no,1,1,3,2023,February,air_arabia
42,trip verified   this review relates to my experiences using air arabia maroc the website is straight forward to use but i was later frustrated when the system would not allow me to checkin online i flew from tangier to gatwick on th february  and found the checkin agent to be friendly and efficient as well as polite and clearly a gifted linguist too the checkin process was prompt as was the departure it was reassuring to see that security was taken seriously and several checks took place before boarding my only gripe was that no provision was made for elderly people disabled passengers and those with babies to have priority boarding some passengers were allowed to take far too much hand luggage while others were strictly controlled a lack of consistency was apparent the cabin crew were efficient service was based on those who preordered items online the staff then performed a purchase trolley service this service was well organised full credit to the staff the seats were comfortable and a route map was used on this a disembarkation was a reasonable affair but the crew were not to be seen to say farewell the passengers and the captain did not make any announcement either the fare was very similar to that charged by larger airlines the departure and arrival time was convenient and so i would consider flying this airline again,True,Solo Leisure,Economy Class,4,3,3,yes,4,3,1,2023,February,air_arabia
43,trip verified   the check in counter staff were rude and slow and whenever you ask them to hurry up because youre late to your flight they say you shouldve come earlier jeddah to sharjah they forced me to pay for extra luggage for the handbag i came with from sharjah to jeddah i came with this bag same bag same weight why you force me pay for it either you pay or you split the weight into two bags,True,Family Leisure,Economy Class,2,1,2,no,5,2,2,2023,February,air_arabia
44,trip verified  had a really nice flight with air arabia great seat pitch comfy seats and easy process all the way cabin was perfectly clean and crew sufficiently attentive it was my first time on air arabia but it will not be the last,True,Couple Leisure,Economy Class,5,5,5,yes,5,1,5,2023,February,air_arabia
45,trip verified  you have a great pilots thats the only point where i may put  lets start the crews are extremely poorly trained turbulence doesnt give you an excuse to not serve ordered and prepaid lunch or at least to get that poor bottle of water at least do it once landed connected flightdeparting delay for almost an hour crews are chatting laughing  no one bothered to explain passengers whats happening unless you ask next the passengers walking standing for almost over an hour and talking loudly to friends or whatever  why are the crews quiet again lets go back to prepaid food allowance  why the sandwich was served frozen cold and the bottle of water ml only oh these delays last year had the same experience plane arriving late for an hour then definitely will depart with delay spoiling passengers mood can you think of those who has short time connecting flight later  why cannot you follow the time schedule why shj bus driver giving passengers instruction to leave hand luggage outside the plane under rain my hand luggage bag suiting all the parameters and allowances what was the bus drivers problem with it other luggage i received after a long wait  same sharjah flight was full of water inside and arrived unwrapped cant imagine how did they kept throwing it as all new bottled stuff has been opened absolutely every single tube opened and leaked out all the liquids that wifi even didnt work   ticket disappointing experience,True,Solo Leisure,Economy Class,3,5,2,no,1,1,1,2023,January,air_arabia
46,trip verified   i had a terrible experience with these guys flight came  hours due to medical emergency as they said we understood but they didnt carry none of our luggage whole passengers arrived at destination without luggage it took  days to get out luggage that too we were helped by our friends working in abu dhabi airport no air arabia staff showed up or came for help the only response was from call centres we called they were asking to email air arabia but ended up receiving your situation is handled really disappointing service,True,Family Leisure,Economy Class,3,1,1,no,3,2,2,2022,November,air_arabia
47,trip verified   i booked a flight for next week mistakenly i chose november instead december like every one i tried to change the flight both online and by calling online my experience was awkward  gives the option to change one way and not both phone call number in madrid is not working and voice message tells you that  next level contacting customer service by email imagine after explaining to them what i have done online and calling they have sent to me a link to change the flight which is the same in there official site which is not working and a call center number in morocco this is my first i have seen an airline who does not care at all with their clients my last option is booking another flight but not anymore with your irresponsible company cheers,True,Solo Leisure,Economy Class,1,1,1,no,1,1,1,2022,November,air_arabia
48,trip verified   i recently flew from ahemdabad gujarat india to tbilisi georgia by air arabia and the experience was so horrible the ground staff was so rude i had  kg allowance and  kg cabin bag i had  kg in my cabin bag and laptop in hand bag i was trying to add extra baggage from  days prior to my flight there was no option where i could add extra baggage i called up the call centre and even the lady was so rude she told me the flight is booked i asked her if what if im told at the check in to lay for my extra baggage to which she replied i dont know so this clearly means the flight was not booked and the customer service so nicely lied this is not the first time it happened i was travelling from tbilisi to ahemdabad in june and i was faced with the same issue i wanted to add extra baggage and there was no option to add and when i called up the call centre they said the flight is booked this is not the way to treat the customers this is such a bad service i was holding my medical book in my hand i told them i have to study in the flight they did not let me carry the book they made me weigh my laptop bag and my cabin bag they asked me to pay for my laptop bag the airport price for per kg is  inr which is comparatively eay too expensive than online prices they clearly only wanted to loot us customers when i told the checkin authorities about it they clearly blamed me that im lying i showed them my student residency card telling them that im a student and i need my book they didnt listen to anything no airline checks the laptop bag yet they do this to us everytime i tried explaining them so much no one was ready to listen it was a horrendous experience i would not suggest anyone to travel from this airline and especially if you are travelling from ahemdabad gujarat id suggest you not to take this airline the staff is obnoxious and illmannered,True,Solo Leisure,Economy Class,2,1,1,no,4,3,1,2022,September,air_arabia
49,not verified   do not take this airline we had two small carry ons for our short flight from marrakesh to fez but they would not allow us to take them my friend had to check in his carry on the reasoning they claimed it was a full flight but we knew that was untrue upon entering the airplane the flight was only half full and there was ample space for baggage in the overhead bins the people who checking in before us didnt have this issue in fact no one else was asked to do this except for my friend  to top this experience off our seating arrangement was not honored even though we paid extra to have specific seats next to each other they were randomly assigned seats totally separate from each other luckily the flight was contrary to airline staff only half full so we seated ourselves when traveling within morocco take the train,False,Solo Leisure,Economy Class,2,1,1,no,2,1,1,2022,September,air_arabia
50,trip verified   my co passenger was suffering from headache from his frustration since inside flight i enquired about this so he asked for one tablet just to survive the time of fight  no one care of this then he requested again the air hostess gave him one tablet after he asked for water the strange thing is that they asked him for money for water its so strange and disappointing situation i am so annoyed how they may consider for passengers during emergency medical conditions,True,Solo Leisure,Economy Class,2,1,1,no,1,1,1,2022,September,air_arabia
51,trip verified   its was one of the worst flight that i used i made a online checkin and i selected a seat which they changed it at the time of obtaining boarding pass without my consent then the family next to me were cleaning and changing the kids diaper on the seat and didnt consider the cabin crew instructions the food was served after  hours to me and they didnt accept the currency which from the flying location very bad service shouldnt choose airlines who dont care about their customers even the tickets were costly,True,Business,Economy Class,1,1,1,no,1,1,2,2022,August,air_arabia
52,not verified   i booked family ticket from delhi to abu dhabi last year to travel in december unfortunately travel had to be cancelled but came to know that they dont refund the money but allow reuse the ticket within  year now came to know that they have stopped flights to abu dhabi and there are number of restrictions to re use the ticket i think air arabia is worst airline where rules are made to grab travelers money,False,Family Leisure,Economy Class,1,1,1,no,1,1,1,2021,September,air_arabia
53,trip verified   i was on a flight from tangier to amsterdam the worst flight i have experienced a passenger had a health issue and the aircraft had to stop in france for emergency the flight was delayed by almost  hours i missed my connecting flight and i ended up booking a hotel stay and a new flight which has cost me an arm and a leg i also had to reschedule other travel activities which cost me a lot of money in total the damage was over  eur i raised a complaint i never heard from them they did not even acknowledge receiving it the form does even accept pdfs how would you supplement a complete compensation claim i had similar problems in the past once there was a half day delay once i sent a request for information and never got a reply the flight was horrible,True,Solo Leisure,Economy Class,1,1,1,no,1,1,1,2022,August,air_arabia
54,trip verified   air arabia reschedule my flight for th august instead of th for returning to london uk even they emailed me for information and issued an eticket eventually when i arrived at kathmandu airport to fly to the uk they couldnt find my schedule in the system it was a blunder mistake from them after carefully checking at kathmandu airport then found out the airline cancelled my ticket without my authorization now i am still in kathmandu n couldnt fly back and they dont refund me after their stupid mistake even i emailed them  times but not replied yet this is their error and they should resolve it please be careful with this kind of airline i dont want anyone to suffer like me customer satisfaction is the priority but they are after only money,True,Family Leisure,Economy Class,1,1,1,no,1,1,1,2022,July,air_arabia
55,trip verified   i did not like the airline at all staff was rude they also charge you for water on top of buying ticket and choosing the airline they cant even show courtesy to provide water that is really rude,True,Couple Leisure,Economy Class,2,2,1,no,1,1,2,2022,August,air_arabia
56,not verified   really atrocious service both my flights in the same day were delayed with no solid updates on what is happening the bus is late and thete are no staff at the gate to inform us what is happening i personally need to get back to my home in qatar quick and i do not appreciate all my flights being delayed by so long air arabia really need to get their priorities straight and fix these constant delays really really bad worst airlines ive travelled on,False,Family Leisure,Economy Class,1,1,1,no,1,1,1,2022,August,air_arabia
57,not verified   worst airline for everything boarding late for more than  hour with no information for bus very bad attitude from the staff not recommended to anyone,False,Family Leisure,Economy Class,1,1,1,no,1,1,1,2022,August,air_arabia
58,not verified   the journey was postponed three times from july  to july  at eight in the morning then we got an email by changing the date until six in the morning instead of eight in the morning so i contacted customer service to make sure that it is a deadline because of my mothers health condition and security problem in sudan and difficulty of the movement in it and the closure of the roads leading to the airport the customer service told me that another change will happen and the flight will be at  pm instead of  am without any email or sms notification,False,Family Leisure,Economy Class,2,3,1,no,3,2,1,2022,July,air_arabia
59,trip verified   give this airline a miss at least in this route i flew  budget airlines on this trip others were thai smiles and vietjet both were far superior on everything from check in to leaving on time currently  hours past boarding time on this flight to quality of food to keeping passengers updated only fly as a last resort,True,Solo Leisure,Economy Class,2,1,1,no,2,1,1,2022,July,air_arabia
60,trip verified   first time i travel in air arabia in food time i was sleeping cabin crew called my name and confirmed my name i prepared the table for food i already paid it while booking but she didnt give the food to me she gave my co passenger with same procedure i was so embarrassed as i had prepared table for food i dont think that it happened by mistake she purposely done please do the needful it shouldnt happened to anyone further,True,Solo Leisure,Economy Class,3,2,2,no,1,3,1,2022,July,air_arabia
61,trip verified   i had a bitter experience of flying with air arabia two times they keep on rescheduling and they are not providing stay or food moreover there is no feedback tab in their website reply from customer call center and reply mail is a nightmare there is no refund for the cancellation tickets too and i received damaged baggage one time too,True,Solo Leisure,Economy Class,1,1,1,no,1,1,1,2022,January,air_arabia
62,not verified  bangalore to doha via sharjah worst airline they charged us excess as we had  pieces of luggage instead of  pieces totalling less than  kgs as allowed for us  travellers this is the first time an airline is charging extra for the number of pieces as per our ticket we could carry  kgs and our luggage was less than  kgs still they made us pay at bangalore airport staff were very arrogant and uncooperative this is the first and last time with air arabia,False,Couple Leisure,Economy Class,1,1,1,no,2,1,1,2022,April,air_arabia
